count,mean,median,min,max,std,config,trial
80,134.0,131.5,37,234,46.69047011971501,Trekendesh (barazuar),12
80,138.95,135.0,53,242,44.777477597560136,Trekendesh (barazuar),13
80,133.225,129.5,17,257,52.34309290632337,Trekendesh (barazuar),14
80,139.375,146.5,23,231,50.08002970246723,Trekendesh (barazuar),15
80,129.7375,124.0,51,240,46.883297598931755,Trekendesh (barazuar),16
80,132.2125,134.5,36,260,47.58930913293447,Trekendesh (barazuar),17
80,139.0,134.0,52,229,42.176415210399284,Trekendesh (barazuar),18
80,132.0375,131.5,34,242,42.99024416946245,Trekendesh (barazuar),19
80,138.5,140.5,29,229,43.296939845675006,Trekendesh (barazuar),20
80,137.1,135.0,40,232,46.84725178705791,Trekendesh (barazuar),21
80,126.5,128.0,41,226,42.22144005123464,Trekendesh (barazuar),22
80,138.2125,141.5,26,264,50.42833869710562,Trekendesh (barazuar),23
80,136.55,137.0,27,256,44.623116206737514,Trekendesh (barazuar),24
80,134.4375,134.5,25,230,45.98500944601403,Trekendesh (barazuar),25
80,150.825,147.5,57,237,43.33583245998627,Trekendesh (barazuar),26
80,137.8375,140.0,21,237,46.309406104483784,Trekendesh (barazuar),27
80,139.65,142.0,42,230,41.47924179634917,Trekendesh (barazuar),28
80,137.175,137.5,34,242,47.624514433220206,Trekendesh (barazuar),29
80,159.5125,164.0,29,255,58.24924758097738,Korridor - brez i ngushte (200px),0
80,160.55,159.5,23,292,67.92033936899904,Korridor - brez i ngushte (200px),1
80,161.5375,174.0,10,272,71.90704828978868,Korridor - brez i ngushte (200px),2
80,153.0125,150.5,31,295,60.3708318954609,Korridor - brez i ngushte (200px),3
80,140.9,133.5,1,276,64.96356671242735,Korridor - brez i ngushte (200px),4
80,165.0375,165.0,45,310,71.08664497463641,Korridor - brez i ngushte (200px),5
80,159.5375,168.5,1,283,70.12594807737005,Korridor - brez i ngushte (200px),6
80,162.8125,164.0,1,306,76.66258764058254,Korridor - brez i ngushte (200px),7
80,155.2125,151.0,1,315,77.62082416304274,Korridor - brez i ngushte (200px),8
80,147.625,140.0,44,266,64.82290779500715,Korridor - brez i ngushte (200px),9
80,153.5125,149.5,38,294,60.64053795729388,Korridor - brez i ngushte (200px),10
80,159.725,161.0,44,326,63.87350291787668,Korridor - brez i ngushte (200px),11
80,160.625,158.5,32,287,65.85293748193773,Korridor - brez i ngushte (200px),12
80,147.775,151.5,30,303,60.19364065248089,Korridor - brez i ngushte (200px),13
80,151.4,154.0,15,271,66.88303222791262,Korridor - brez i ngushte (200px),14
80,135.5,129.5,7,307,69.93336113758583,Korridor - brez i ngushte (200px),15
80,138.875,129.0,21,285,69.20104316410267,Korridor - brez i ngushte (200px),16
80,148.1,141.0,17,300,78.30862021514618,Korridor - brez i ngushte (200px),17
80,150.5375,158.0,15,279,68.29676854544438,Korridor - brez i ngushte (200px),18
80,161.525,152.0,13,294,72.95152071752857,Korridor - brez i ngushte (200px),19
80,153.25,166.0,35,283,71.35255776774929,Korridor - brez i ngushte (200px),20
80,147.1125,141.5,25,262,59.94142844268895,Korridor - brez i ngushte (200px),21
80,155.3875,156.0,47,284,59.04648460111745,Korridor - brez i ngushte (200px),22
80,156.3375,151.0,36,274,62.19625064061338,Korridor - brez i ngushte (200px),23
80,160.5875,154.0,24,281,68.46544634887003,Korridor - brez i ngushte (200px),24
80,154.4625,166.0,23,273,68.66639348145496,Korridor - brez i ngushte (200px),25
80,151.5375,167.0,16,262,72.8371374626296,Korridor - brez i ngushte (200px),26
80,159.35,151.5,1,290,62.86674399076192,Korridor - brez i ngushte (200px),27
80,155.0,155.5,8,268,67.23522142448851,Korridor - brez i ngushte (200px),28
80,154.9375,159.0,4,269,66.59285692737623,Korridor - brez i ngushte (200px),29
80,146.8375,152.5,15,266,64.762729202451,Korridor - brez mesatar (350px),0
80,150.5625,147.0,26,275,66.73826558841637,Korridor - brez mesatar (350px),1
80,152.0375,166.0,23,249,61.48972348083864,Korridor - brez mesatar (350px),2
80,144.8,141.5,30,252,63.225469551439474,Korridor - brez mesatar (350px),3
80,153.5125,157.0,18,264,61.22907678342048,Korridor - brez mesatar (350px),4
80,137.9625,138.5,12,263,66.33823251903837,Korridor - brez mesatar (350px),5
80,125.45,119.0,21,243,59.55646480441901,Korridor - brez mesatar (350px),6
80,146.325,146.5,40,266,69.28920821455532,Korridor - brez mesatar (350px),7
80,157.4375,164.0,52,259,58.63186926706328,Korridor - brez mesatar (350px),8
80,151.8875,155.5,13,264,64.63068035964035,Korridor - brez mesatar (350px),9
80,154.2875,150.0,24,300,69.41815211996067,Korridor - brez mesatar (350px),10
80,142.925,121.5,32,289,67.20486868523739,Korridor - brez mesatar (350px),11
80,147.85,149.5,18,285,59.656747313275474,Korridor - brez mesatar (350px),12
80,145.4875,147.0,27,259,52.321361256660744,Korridor - brez mesatar (350px),13
80,148.55,151.5,30,261,67.67752581174936,Korridor - brez mesatar (350px),14
80,152.475,159.0,1,323,70.56609933246983,Korridor - brez mesatar (350px),15
80,156.15,148.5,6,321,73.37405876738727,Korridor - brez mesatar (350px),16
80,145.65,134.0,32,258,59.67748738008328,Korridor - brez mesatar (350px),17
80,158.2,174.0,36,266,63.34102146318766,Korridor - brez mesatar (350px),18
80,143.425,129.5,35,275,62.656359413869545,Korridor - brez mesatar (350px),19
80,164.675,174.0,14,254,59.51003591832222,Korridor - brez mesatar (350px),20
80,174.425,174.5,46,325,66.5275835650146,Korridor - brez mesatar (350px),21
80,146.15,143.5,20,269,64.83230290526475,Korridor - brez mesatar (350px),22
80,149.0125,149.0,28,276,66.44725234161304,Korridor - brez mesatar (350px),23
80,143.35,135.0,34,259,62.54480394085507,Korridor - brez mesatar (350px),24
80,160.75,170.0,42,274,62.14670144102581,Korridor - brez mesatar (350px),25
80,142.35,133.5,32,268,69.40697011107747,Korridor - brez mesatar (350px),26
80,144.5,148.5,36,303,66.92140913041207,Korridor - brez mesatar (350px),27
80,147.75,146.0,1,263,66.50441714653245,Korridor - brez mesatar (350px),28
80,146.375,142.0,26,256,63.68680691477631,Korridor - brez mesatar (350px),29
80,142.1625,137.0,36,259,60.08482415510593,Korridor - brez i gjere (500px),0
80,167.75,160.0,42,323,68.27160830096211,Korridor - brez i gjere (500px),1
80,145.625,154.0,39,272,63.632808951043486,Korridor - brez i gjere (500px),2
80,158.3375,155.0,24,285,63.57278186260217,Korridor - brez i gjere (500px),3
80,154.15,156.0,49,259,61.07374640547278,Korridor - brez i gjere (500px),4
80,148.65,140.5,34,269,61.10096153089573,Korridor - brez i gjere (500px),5
80,146.5125,138.0,37,261,59.49117450303029,Korridor - brez i gjere (500px),6
80,155.8,156.5,15,280,64.9639130594825,Korridor - brez i gjere (500px),7
80,148.425,150.0,18,271,63.45545189343466,Korridor - brez i gjere (500px),8
80,151.4625,139.0,30,278,65.93632226436351,Korridor - brez i gjere (500px),9
80,151.275,145.0,43,294,64.52344050808203,Korridor - brez i gjere (500px),10
80,159.5375,158.5,53,286,60.730335037360035,Korridor - brez i gjere (500px),11
80,162.8125,173.0,36,282,67.42015532279646,Korridor - brez i gjere (500px),12
80,159.275,151.5,56,266,61.26274867323536,Korridor - brez i gjere (500px),13
80,158.8,153.5,45,282,64.45141581067091,Korridor - brez i gjere (500px),14
80,154.4375,170.0,17,262,65.34616357331163,Korridor - brez i gjere (500px),15
80,151.6625,141.0,38,281,65.5539746601989,Korridor - brez i gjere (500px),16
80,162.175,172.5,27,269,64.47766570681665,Korridor - brez i gjere (500px),17
80,155.0125,168.5,33,258,58.129487729980895,Korridor - brez i gjere (500px),18
80,146.175,141.0,11,281,66.37333331240792,Korridor - brez i gjere (500px),19
80,146.0375,148.0,32,258,62.62256856557386,Korridor - brez i gjere (500px),20
80,170.85,176.0,55,284,61.54309465732123,Korridor - brez i gjere (500px),21
80,147.95,150.5,1,335,71.46780743803465,Korridor - brez i gjere (500px),22
80,153.8,149.0,28,264,62.46987273878506,Korridor - brez i gjere (500px),23
80,142.1375,147.0,12,274,64.22513988890954,Korridor - brez i gjere (500px),24
80,147.625,139.5,25,269,63.66010819186533,Korridor - brez i gjere (500px),25
80,157.65,164.0,20,274,61.46850819728749,Korridor - brez i gjere (500px),26
80,146.0625,144.0,3,265,63.9435969722536,Korridor - brez i gjere (500px),27
80,150.2125,140.5,28,286,67.0010622583702,Korridor - brez i gjere (500px),28
80,151.8625,154.0,1,283,66.31510833701472,Korridor - brez i gjere (500px),29
