count,mean,median,min,max,std,config,trial
80,147.1375,153.5,20,307,79.44679725294155,Poligon - korridor i ngushtë,11
80,152.4625,154.0,31,317,73.76126079284437,Poligon - korridor i ngushtë,12
80,159.0875,151.0,19,288,70.61217914602268,Poligon - korridor i ngushtë,13
80,152.2,156.0,26,272,63.28850606547764,Poligon - korridor i ngushtë,14
80,150.2,155.5,31,290,62.11469230383421,Poligon - korridor i ngushtë,15
80,138.65,140.0,21,271,65.68696598260571,Poligon - korridor i ngushtë,16
80,149.0125,158.5,26,270,66.84431422155515,Poligon - korridor i ngushtë,17
80,159.9625,166.5,31,265,58.58080823742533,Poligon - korridor i ngushtë,18
80,151.35,152.0,13,309,75.51441915290086,Poligon - korridor i ngushtë,19
80,144.4625,155.5,16,268,65.55035159135304,Poligon - korridor i ngushtë,20
80,155.4875,143.0,17,262,62.22840865513115,Poligon - korridor i ngushtë,21
80,146.875,163.0,33,248,64.29762340086918,Poligon - korridor i ngushtë,22
80,144.1875,157.5,27,251,60.37385480280351,Poligon - korridor i ngushtë,23
80,150.2875,148.5,28,291,65.20222269025804,Poligon - korridor i ngushtë,24
80,147.7,157.0,21,262,64.24764587126909,Poligon - korridor i ngushtë,25
80,151.3875,166.5,25,261,58.62006775627269,Poligon - korridor i ngushtë,26
80,148.725,155.5,25,274,65.80633993013134,Poligon - korridor i ngushtë,27
80,146.3625,147.0,27,257,59.499631038771994,Poligon - korridor i ngushtë,28
80,166.2125,174.0,24,261,63.89536245886707,Poligon - korridor i ngushtë,29
80,103.125,105.5,14,174,30.090852015188936,Poligon - trekëndësh i parregullt,0
80,106.9375,105.0,47,194,31.457647619458132,Poligon - trekëndësh i parregullt,1
80,103.3125,104.0,26,189,38.38052688213126,Poligon - trekëndësh i parregullt,2
80,100.5875,107.0,19,164,30.999876511850815,Poligon - trekëndësh i parregullt,3
80,104.175,105.0,28,166,26.26203295634213,Poligon - trekëndësh i parregullt,4
80,105.0125,106.5,22,179,30.535018319136473,Poligon - trekëndësh i parregullt,5
80,103.8,106.5,20,187,35.57084480301248,Poligon - trekëndësh i parregullt,6
80,103.3875,104.5,33,184,31.020756659855998,Poligon - trekëndësh i parregullt,7
80,107.6,106.5,27,189,32.10942229315252,Poligon - trekëndësh i parregullt,8
80,111.05,110.5,35,182,33.575995889921124,Poligon - trekëndësh i parregullt,9
80,99.825,104.5,10,205,36.73852712072165,Poligon - trekëndësh i parregullt,10
80,105.2125,106.5,41,169,29.658765040877885,Poligon - trekëndësh i parregullt,11
80,102.125,99.5,32,178,32.011472552820806,Poligon - trekëndësh i parregullt,12
80,106.425,104.0,53,175,27.11308494067025,Poligon - trekëndësh i parregullt,13
80,106.1375,106.0,26,169,27.857559005591284,Poligon - trekëndësh i parregullt,14
80,105.4375,107.0,46,162,27.255661682483513,Poligon - trekëndësh i parregullt,15
80,102.975,102.0,5,183,35.27746270637955,Poligon - trekëndësh i parregullt,16
80,111.175,111.0,44,170,28.140617885895825,Poligon - trekëndësh i parregullt,17
80,106.375,104.5,30,208,35.53286330989947,Poligon - trekëndësh i parregullt,18
80,107.6875,113.0,36,168,30.26532411440525,Poligon - trekëndësh i parregullt,19
80,104.65,109.5,17,164,31.12398592725552,Poligon - trekëndësh i parregullt,20
80,97.0375,99.5,25,168,29.368539183112258,Poligon - trekëndësh i parregullt,21
80,103.025,108.5,18,182,30.437630903209268,Poligon - trekëndësh i parregullt,22
80,97.5625,100.0,1,157,29.67483940563116,Poligon - trekëndësh i parregullt,23
80,105.8375,109.5,3,186,31.37253725394234,Poligon - trekëndësh i parregullt,24
80,105.7875,106.0,54,167,29.207744585126736,Poligon - trekëndësh i parregullt,25
80,102.9,105.0,30,180,33.656202994396146,Poligon - trekëndësh i parregullt,26
80,103.85,110.0,22,184,33.54552876316008,Poligon - trekëndësh i parregullt,27
80,100.5125,103.5,33,176,32.34849059461662,Poligon - trekëndësh i parregullt,28
80,103.5625,104.0,1,185,30.769645655255765,Poligon - trekëndësh i parregullt,29
