count,mean,median,min,max,std,config,trial,num_exits
80,236.075,247.0,1,391,89.0293175027193,1 derë - e gjerë (60px),8,1
80,264.9875,271.5,35,437,96.28609631587523,1 derë - e gjerë (60px),9,1
80,256.3875,245.5,29,453,111.27853496407111,1 derë - e gjerë (60px),10,1
80,236.3625,235.0,5,398,94.96660515017898,1 derë - e gjerë (60px),11,1
80,251.7375,258.0,61,393,89.64746841796483,1 derë - e gjerë (60px),12,1
80,263.8875,267.5,37,398,93.19991868961044,1 derë - e gjerë (60px),13,1
80,262.6375,265.0,3,409,86.1327817601986,1 derë - e gjerë (60px),14,1
80,250.625,249.5,66,403,75.73529147629921,1 derë - e gjerë (60px),15,1
80,260.8875,271.0,50,383,81.81717328134724,1 derë - e gjerë (60px),16,1
80,245.0,228.5,35,404,79.42638100782385,1 derë - e gjerë (60px),17,1
80,270.9,255.0,58,465,93.21689760982179,1 derë - e gjerë (60px),18,1
80,259.3375,252.0,28,454,97.07303226823608,1 derë - e gjerë (60px),19,1
80,279.8875,278.0,68,525,83.1910442520708,1 derë - e gjerë (60px),20,1
80,258.125,267.0,11,395,87.27619592420375,1 derë - e gjerë (60px),21,1
80,270.0625,261.0,34,415,89.47839735796568,1 derë - e gjerë (60px),22,1
80,245.6375,260.0,15,456,86.55276479552805,1 derë - e gjerë (60px),23,1
80,264.3625,276.0,96,417,80.75909294779134,1 derë - e gjerë (60px),24,1
80,253.525,287.0,1,418,103.73824933456319,1 derë - e gjerë (60px),25,1
80,243.65,274.0,49,401,84.56108738657515,1 derë - e gjerë (60px),26,1
80,225.8,253.0,34,403,70.1620267666207,1 derë - e gjerë (60px),27,1
80,263.0875,287.5,63,384,75.63815071609035,1 derë - e gjerë (60px),28,1
80,272.375,264.5,41,408,96.29179287457472,1 derë - e gjerë (60px),29,1
80,246.0,282.5,15,379,92.1143311325659,2 dyer - ngushta (15px),0,2
80,243.875,264.0,22,339,81.83907608838213,2 dyer - ngushta (15px),1,2
