count,mean,median,min,max,std,config,trial,num_exits
80,135.6,133.0,40,234,46.045792424498465,E ngushtë (15px),75,1
80,138.25,140.0,27,247,46.94504766213365,E ngushtë (15px),76,1
80,137.0625,147.0,1,221,50.49216368655635,E ngushtë (15px),77,1
80,136.95,136.0,47,225,49.46132327384701,E ngushtë (15px),78,1
80,144.1125,151.5,29,236,45.4009894578301,E ngushtë (15px),79,1
80,144.4625,155.0,26,230,48.21072073460425,Mesatare (30px),0,1
80,141.225,141.5,46,239,48.49380759437229,Mesatare (30px),1,1
80,141.2875,143.0,1,243,54.85758692970372,Mesatare (30px),2,1
80,145.5,155.0,35,234,48.950995904067156,Mesatare (30px),3,1
80,140.825,139.0,43,251,49.525189297972396,Mesatare (30px),4,1
80,137.9625,136.0,36,248,53.089416023817776,Mesatare (30px),5,1
80,136.75,140.0,15,217,48.271238848821774,Mesatare (30px),6,1
80,136.925,147.5,40,222,44.780792478472286,Mesatare (30px),7,1
80,134.8875,137.0,33,243,51.06833503992469,Mesatare (30px),8,1
80,140.8375,140.0,43,236,51.69053195460461,Mesatare (30px),9,1
80,142.9,142.0,25,249,47.56143395651565,Mesatare (30px),10,1
80,142.825,145.0,31,241,51.42610596768921,Mesatare (30px),11,1
80,135.6875,135.0,1,226,45.93054369099064,Mesatare (30px),12,1
80,146.6125,138.5,1,260,53.50642338775785,Mesatare (30px),13,1
80,134.45,132.5,32,232,45.965177036534946,Mesatare (30px),14,1
80,135.25,134.5,26,226,46.768712832405384,Mesatare (30px),15,1
80,138.8875,137.0,43,237,47.66628623828376,Mesatare (30px),16,1
80,144.025,139.5,37,244,48.771142851075375,Mesatare (30px),17,1
80,137.725,134.5,49,236,45.251512405664414,Mesatare (30px),18,1
80,140.225,140.5,9,231,51.941547676210035,Mesatare (30px),19,1
80,134.8375,133.0,46,233,50.460738141152866,Mesatare (30px),20,1
80,138.7125,134.0,38,243,48.721708136620165,Mesatare (30px),21,1
80,133.1375,133.5,28,224,49.87502976189588,Mesatare (30px),22,1
80,136.45,137.5,26,236,45.34586530214194,Mesatare (30px),23,1
80,145.4875,148.0,55,242,47.445229936738635,Mesatare (30px),24,1
80,139.475,134.5,21,239,45.94479703949077,Mesatare (30px),25,1
80,138.5875,140.0,42,249,50.36906137451839,Mesatare (30px),26,1
80,130.1875,132.0,24,228,50.805288541154844,Mesatare (30px),27,1
80,136.0,132.5,27,240,53.53013170168742,Mesatare (30px),28,1
80,142.525,139.0,24,220,45.26173190455708,Mesatare (30px),29,1
80,143.775,143.5,18,241,46.62241279685126,Mesatare (30px),30,1
80,139.7625,142.5,22,226,45.27229940868919,Mesatare (30px),31,1
80,149.375,158.5,49,247,47.42003136861046,Mesatare (30px),32,1
80,136.5625,137.5,1,229,56.1417500061229,Mesatare (30px),33,1
80,146.5,153.0,59,227,45.73538017771362,Mesatare (30px),34,1
80,142.475,148.0,30,257,53.11919968335366,Mesatare (30px),35,1
80,140.8,149.0,16,227,47.346699990601245,Mesatare (30px),36,1
80,139.6625,147.5,2,234,53.05396868991046,Mesatare (30px),37,1
80,149.0625,151.5,46,250,44.777880630396076,Mesatare (30px),38,1
80,139.75,131.0,38,237,47.34355816792819,Mesatare (30px),39,1
80,144.3875,142.0,34,237,47.67297288558791,Mesatare (30px),40,1
80,146.5875,152.0,32,240,48.406273805675234,Mesatare (30px),41,1
80,146.6875,152.5,21,225,46.55040111266497,Mesatare (30px),42,1
