config,mean_of_means,std_of_means,mean_max,overall_std
Kontroll i barazuar (drejtkendesh),132.23416666666668,4.366077025426145,215.4,41.76349038398942
Korridor - brez i gjere (500px),153.14083333333335,7.152016936806554,277.0,63.81897268355566
Korridor - brez i ngushte (200px),154.0425,7.2094635184691676,285.4,67.3021810867784
Korridor - brez mesatar (350px),149.37166666666664,8.75992659425761,272.8333333333333,64.34378949100191
L-forme (barazuar),131.48125,5.128215717378266,231.43333333333334,45.17386322169465
Trekendesh (barazuar),136.7075,4.589119440740165,242.06666666666666,45.62015723046971
