count,mean,median,min,max,std,config,trial,num_exits
80,139.025,135.5,45,236,48.59603250266425,1 derë - e gjerë (60px),8,1
80,138.65,135.5,12,227,49.258273416757106,1 derë - e gjerë (60px),9,1
80,139.25,140.0,46,223,44.671159599902936,1 derë - e gjerë (60px),10,1
80,155.9625,161.0,21,245,45.499572456782495,1 derë - e gjerë (60px),11,1
80,133.4125,132.0,15,237,52.72539562440475,1 derë - e gjerë (60px),12,1
80,141.4875,140.0,60,252,46.565275085088885,1 derë - e gjerë (60px),13,1
80,143.0625,139.5,37,234,47.02375563212705,1 derë - e gjerë (60px),14,1
80,143.2125,144.0,53,237,52.58343221728684,1 derë - e gjerë (60px),15,1
80,136.325,134.5,33,233,46.642999206740555,1 derë - e gjerë (60px),16,1
80,133.0625,131.0,15,216,49.473059272193794,1 derë - e gjerë (60px),17,1
80,137.525,137.5,32,239,47.344739676124526,1 derë - e gjerë (60px),18,1
80,133.8625,138.0,3,230,50.41694748544382,1 derë - e gjerë (60px),19,1
80,142.8875,141.0,1,228,46.4138970972057,1 derë - e gjerë (60px),20,1
80,134.3125,137.0,39,235,44.48696262670671,1 derë - e gjerë (60px),21,1
80,142.35,140.0,25,260,54.551833149766836,1 derë - e gjerë (60px),22,1
80,140.8375,142.0,17,241,50.05657892575161,1 derë - e gjerë (60px),23,1
80,133.9625,134.0,18,228,46.6710412756133,1 derë - e gjerë (60px),24,1
80,136.9375,135.0,21,240,53.13011004835205,1 derë - e gjerë (60px),25,1
80,140.9875,143.0,45,235,46.77325457726884,1 derë - e gjerë (60px),26,1
80,141.7125,138.5,46,222,43.069186708713225,1 derë - e gjerë (60px),27,1
80,140.0375,135.5,39,229,43.87152942114054,1 derë - e gjerë (60px),28,1
80,133.9375,135.0,40,210,44.50234368828231,1 derë - e gjerë (60px),29,1
80,125.95,131.0,4,226,55.02269986105735,2 dyer - ngushta (15px),0,2
80,119.4,115.5,1,214,47.42878872583613,2 dyer - ngushta (15px),1,2
80,124.7875,123.5,25,222,49.90182705823505,2 dyer - ngushta (15px),2,2
80,121.6375,121.5,28,207,47.489010241844376,2 dyer - ngushta (15px),3,2
80,136.3875,134.0,39,215,47.67113742874193,2 dyer - ngushta (15px),4,2
80,118.5375,117.5,12,214,48.953790392062594,2 dyer - ngushta (15px),5,2
80,125.8375,121.0,20,224,45.60631637997088,2 dyer - ngushta (15px),6,2
80,126.7,129.0,36,220,46.33233212347507,2 dyer - ngushta (15px),7,2
80,128.6375,127.5,35,235,45.531649363382385,2 dyer - ngushta (15px),8,2
80,116.2125,115.0,23,211,49.7309495560863,2 dyer - ngushta (15px),9,2
80,128.025,135.0,28,217,52.23958628281813,2 dyer - ngushta (15px),10,2
80,122.95,115.5,7,225,47.16616901975398,2 dyer - ngushta (15px),11,2
80,120.2875,109.5,15,203,52.30085891981125,2 dyer - ngushta (15px),12,2
80,123.7375,120.5,35,216,48.959867174554304,2 dyer - ngushta (15px),13,2
80,117.975,109.5,21,222,51.15490567873231,2 dyer - ngushta (15px),14,2
80,132.0375,144.0,14,224,51.78451596519948,2 dyer - ngushta (15px),15,2
80,112.3125,104.5,32,223,47.820652899662505,2 dyer - ngushta (15px),16,2
80,123.9625,129.5,29,205,46.202663275508264,2 dyer - ngushta (15px),17,2
80,128.85,140.5,17,218,53.21421332689228,2 dyer - ngushta (15px),18,2
80,131.875,142.5,16,224,52.633016016565115,2 dyer - ngushta (15px),19,2
80,122.1,119.0,22,215,46.376340950963346,2 dyer - ngushta (15px),20,2
80,120.075,113.5,2,231,54.9374132536289,2 dyer - ngushta (15px),21,2
80,124.0375,118.0,36,221,50.202451073129886,2 dyer - ngushta (15px),22,2
80,123.3625,130.5,19,234,49.12566634408128,2 dyer - ngushta (15px),23,2
80,125.5375,123.0,26,205,49.49064147644482,2 dyer - ngushta (15px),24,2
80,133.925,137.0,34,221,52.74153368077193,2 dyer - ngushta (15px),25,2
80,121.9125,120.5,37,237,49.135830549101335,2 dyer - ngushta (15px),26,2
80,123.875,122.0,38,223,49.036051788454586,2 dyer - ngushta (15px),27,2
80,124.275,127.5,11,233,56.465470643571194,2 dyer - ngushta (15px),28,2
80,128.7375,127.5,31,206,47.573559817928285,2 dyer - ngushta (15px),29,2
80,123.45,123.5,11,214,51.009288369864564,2 dyer - gjera (40px),0,2
80,122.3125,121.0,26,208,45.961830291558236,2 dyer - gjera (40px),1,2
80,111.775,102.5,27,211,50.7244948225214,2 dyer - gjera (40px),2,2
80,125.9375,126.0,33,212,45.794471213783,2 dyer - gjera (40px),3,2
80,125.9375,123.5,31,212,46.780964010481874,2 dyer - gjera (40px),4,2
80,125.4875,128.5,19,223,55.92919491419485,2 dyer - gjera (40px),5,2
80,123.7625,121.0,37,220,46.755813475438536,2 dyer - gjera (40px),6,2
80,122.6375,112.5,36,221,50.19418386377051,2 dyer - gjera (40px),7,2
80,118.0625,112.0,19,217,45.38291081178024,2 dyer - gjera (40px),8,2
80,116.5625,105.5,27,216,49.055031278656834,2 dyer - gjera (40px),9,2
80,130.625,131.0,37,213,45.72892274042764,2 dyer - gjera (40px),10,2
80,122.325,111.5,32,218,50.52765950447339,2 dyer - gjera (40px),11,2
80,125.325,132.0,1,215,50.164672579415885,2 dyer - gjera (40px),12,2
80,124.0875,118.5,11,210,52.059867880642955,2 dyer - gjera (40px),13,2
80,123.225,119.5,17,204,52.60583974237081,2 dyer - gjera (40px),14,2
80,116.7375,107.0,1,218,53.588651725435305,2 dyer - gjera (40px),15,2
80,132.375,124.0,38,217,44.43291994681421,2 dyer - gjera (40px),16,2
80,121.775,130.0,14,217,51.309106160602724,2 dyer - gjera (40px),17,2
80,122.475,114.5,39,218,53.91288691027406,2 dyer - gjera (40px),18,2
80,117.3125,122.5,1,214,48.39462618669556,2 dyer - gjera (40px),19,2
80,126.4125,129.5,43,226,48.76389385344447,2 dyer - gjera (40px),20,2
80,126.725,125.0,4,210,51.83121043348303,2 dyer - gjera (40px),21,2
80,121.0625,117.0,18,202,48.57734650791457,2 dyer - gjera (40px),22,2
80,130.4125,130.0,30,229,47.779361064689844,2 dyer - gjera (40px),23,2
80,124.1625,128.0,30,218,55.71701799046679,2 dyer - gjera (40px),24,2
80,121.2,112.0,1,213,48.30020703889374,2 dyer - gjera (40px),25,2
80,122.8,119.0,24,211,47.216893163358385,2 dyer - gjera (40px),26,2
80,122.35,130.5,28,212,47.97944872546995,2 dyer - gjera (40px),27,2
80,112.55,107.5,13,212,47.911611327526856,2 dyer - gjera (40px),28,2
80,136.4125,148.0,24,212,49.534506596412164,2 dyer - gjera (40px),29,2
80,114.6,114.5,22,205,47.83973244072337,3 dyer,0,3
80,113.5875,116.0,30,213,46.91713273155128,3 dyer,1,3
80,124.6125,129.0,38,212,49.90603514355754,3 dyer,2,3
80,112.975,113.0,1,217,56.86320756869067,3 dyer,3,3
80,110.0625,103.0,35,215,47.54138821858276,3 dyer,4,3
80,112.9125,111.0,26,204,45.951385656473946,3 dyer,5,3
80,111.025,108.0,27,220,50.67493833247358,3 dyer,6,3
80,112.675,109.5,1,207,51.5246967482585,3 dyer,7,3
80,112.825,104.5,16,206,52.053764273105166,3 dyer,8,3
80,121.575,133.0,25,222,54.403992270788365,3 dyer,9,3
80,118.075,120.0,8,197,48.5640749422863,3 dyer,10,3
80,112.075,102.5,22,214,53.03177703038057,3 dyer,11,3
80,120.275,121.5,3,219,53.02310227627199,3 dyer,12,3
80,125.7125,127.5,36,230,47.97061437744986,3 dyer,13,3
80,117.4875,121.5,15,203,48.21514122918236,3 dyer,14,3
80,117.8375,124.5,14,200,53.159534363555146,3 dyer,15,3
80,132.1625,139.5,24,221,52.3845024196088,3 dyer,16,3
80,109.925,102.0,21,221,49.43879423084669,3 dyer,17,3
80,118.375,126.0,22,223,55.02848694085637,3 dyer,18,3
80,124.6125,116.5,10,220,53.639186643255506,3 dyer,19,3
80,112.5125,108.5,14,215,51.8080577106496,3 dyer,20,3
80,119.375,108.5,16,211,55.203572121738645,3 dyer,21,3
80,109.875,105.5,4,210,46.913051222447685,3 dyer,22,3
80,119.875,111.5,37,211,50.34440758415973,3 dyer,23,3
80,128.625,123.0,36,213,48.39689427019052,3 dyer,24,3
80,125.3125,130.5,10,211,49.14152870790652,3 dyer,25,3
80,124.9375,133.5,33,213,48.138171898712564,3 dyer,26,3
80,114.65,118.5,24,198,46.54865733831643,3 dyer,27,3
80,118.0125,115.5,10,211,46.82347000970774,3 dyer,28,3
80,125.9375,117.5,27,217,55.256525349953016,3 dyer,29,3
80,146.1875,151.0,40,254,48.66700467205681,1 derë - me pengesë,0,1
80,147.6,149.0,22,245,53.957992920419116,1 derë - me pengesë,1,1
80,145.325,146.5,29,227,47.34917501921232,1 derë - me pengesë,2,1
80,143.9625,144.0,33,241,49.763551860272194,1 derë - me pengesë,3,1
80,152.8875,156.5,30,254,44.320704459089995,1 derë - me pengesë,4,1
80,158.825,161.0,59,243,41.27552997842668,1 derë - me pengesë,5,1
80,155.7125,155.5,43,244,46.74537243139689,1 derë - me pengesë,6,1
