config,mean_of_means,std_of_means,mean_max,overall_std
2 dyer - gjera (40px),176.43083333333334,9.88532073794037,312.8333333333333,73.67666164980665
2 dyer - ngushta (15px),241.96124999999998,26.953524486045,463.1,109.60097662732318
Densitet i lartë (150 boid),299.3437777777778,24.894549015334352,612.4,117.49505383793914
Densitet i ulët (40 boid),239.86666666666667,24.057072346506704,441.3333333333333,111.0907340565625
Densitet mesatar (80 boid),293.55958333333336,33.6494622727142,571.1,125.11633879359724
